Name,z,r500,r500_Error (+),r500_Error (-),Mgas,Mgas_Error (+),Mgas_Error (-),kT,kTError (+),kTError (-),L,Lerror,Source ,Second source 
,,(Mpc),,,(10^14 Msun),,,(keV),,,(10^44 erg s-1),,,
Abell 754,0.054,1.21,0.05,0.05,0.66,0.07,0.07,9.4,0.24,0.24,2.75,0.08,https://arxiv.org/abs/1606.03407 ,
Abell 3667,0.056,1.4,0.07,0.07,1.03,0.15,0.15,6.56,0.13,0.13,4.64,0.26,https://arxiv.org/abs/1606.03407 ,
Abell 85,0.056,1.29,0.04,0.04,0.8,0.08,0.08,7.79,0.19,0.19,5.44,0.16,https://arxiv.org/abs/1606.03407 ,
Abell 2256,0.058,1.47,0.05,0.05,1.19,0.13,0.13,7.12,0.24,0.24,7.71,0.29,https://arxiv.org/abs/1606.03407 ,
Abell 399,0.072,1.31,0.05,0.05,0.86,0.1,0.1,7.09,0.27,0.27,3.11,0.05,https://arxiv.org/abs/1606.03407 ,
Abell 401,0.074,1.62,0.05,0.05,1.63,0.15,0.15,9.67,0.22,0.22,9.79,0.36,https://arxiv.org/abs/1606.03407 ,
Abell 2255,0.081,1.26,0.05,0.05,0.77,0.1,0.1,7.17,0.26,0.26,3.43,0.22,https://arxiv.org/abs/1606.03407 ,
Abell 2034,0.113,1.33,0.05,0.05,0.93,0.11,0.11,8.33,0.2,0.2,5.45,0.42,https://arxiv.org/abs/1606.03407 ,
Abell 1914,0.171,1.45,0.05,0.05,1.28,0.13,0.13,9.67,0.5,0.5,12.87,0.71,https://arxiv.org/abs/1606.03407 ,
Abell 2218,0.171,1.28,0.05,0.05,0.89,0.1,0.1,7.43,0.31,0.31,5.5,0.09,https://arxiv.org/abs/1606.03407 ,
Abell 115,0.197,1.49,0.05,0.05,1.43,0.15,0.15,11.74,0.9,0.9,7.11,0.12,https://arxiv.org/abs/1606.03407,
Abell 2163,0.203,2.15,0.07,0.07,4.34,0.4,0.4,14.99,0.64,0.64,30.09,1.38,https://arxiv.org/abs/1606.03407,
Abell 520,0.203,1.71,0.08,0.08,2.18,0.3,0.3,9.3,0.23,0.23,13.57,1.18,https://arxiv.org/abs/1606.03407,
Abell 209,0.206,1.47,0.05,0.05,1.39,0.15,0.15,8.98,0.67,0.67,7.93,0.16,https://arxiv.org/abs/1606.03407,
Abell 773,0.217,1.32,0.04,0.04,1.01,0.1,0.1,8.97,0.52,0.52,7.05,0.12,https://arxiv.org/abs/1606.03407,
